symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
SILVER,3.742231180635631,TARGET,3,2020-01-15 18:47:00,2020-01-15 19:31:00,17.99,18.034999999999997,0.2991666666666295,0.6933283105980498
SILVER,-15.11357694467676,STOP_SAME,0,2020-01-15 20:09:00,2020-01-15 20:13:00,18.28,17.99199,-1.201044407407409,2.327983727924583
SILVER,-28.86810077841817,STOP,2,2020-01-16 01:16:00,2020-01-16 02:02:00,18.04,17.982,-2.350550000000046,0.8109116503677851
GOLD,-16.432639217203167,STOP,33,2020-01-15 18:59:00,2020-01-16 05:40:00,1568.4,1551.9465,-1.3136809731543595,0.9008472160996394
SILVER,-13.089684116332277,STOP,1,2020-01-16 17:27:00,2020-01-16 17:33:00,18.33,17.95203,-1.1507000833333287,0.32152902399793915
SILVER,-3.3174141806471322,TARGET,3,2020-01-17 01:45:00,2020-01-17 02:30:00,17.97,18.0,-0.29849999999994964,0.29720391164584203
GOLD,-15.283843271427813,STOP_SAME,0,2020-01-17 05:49:00,2020-01-17 05:57:00,1568.2,1554.444,-1.3834954098360674,0.6911583454850646
SILVER,3.1490761926090656,TARGET,1,2020-01-17 10:37:00,2020-01-17 10:52:00,18.08,18.124999999999993,0.29316666666651064,0.39305519621027935
SILVER,-15.3119032692556,STOP,11,2020-01-17 10:52:00,2020-01-17 13:52:00,18.17,18.02196,-1.4171689230769084,1.8257402677731263
GOLD,-12.655010150216784,STOP,10,2020-01-17 11:02:00,2020-01-17 13:49:00,1583.0,1554.0444,-1.17126439416058,0.7425062743678498
SILVER,-3.1401640530315333,TARGET_SAME,0,2020-01-17 17:00:00,2020-01-17 17:06:00,18.05,18.08,-0.3065000000001274,0.2044092535635093
SILVER,6.053454736608186,TARGET_SAME,0,2020-01-17 18:01:00,2020-01-17 18:04:00,18.08,18.139999999999997,0.5944999999999808,0.7990287657002128
SILVER,-3.199236521984451,TARGET_SAME,0,2020-01-17 18:47:00,2020-01-17 18:53:00,18.09,18.119999999999997,-0.31050000000012745,0.21050035661272629
GOLD,-12.958450785494463,STOP,16,2020-01-17 16:59:00,2020-01-17 20:50:00,1574.8,1555.5429,-1.2648272824858744,0.556732090536881
SILVER,-27.968913630272883,STOP,4,2020-01-19 23:01:00,2020-01-20 00:59:00,18.05,18.00198,-2.8023993333332626,0.8703346898542165
GOLD,-16.110624084885476,STOP_SAME,0,2020-01-20 23:01:00,2020-01-20 23:06:00,1567.1,1558.9395,-1.7100817424242591,0.6257476495766237
GOLD,-10.764861359214276,STOP_SAME,0,2020-01-21 03:13:00,2020-01-21 03:13:00,1592.5,1565.1333,-1.1831136937984532,1.0008321959635764
SILVER,11.038965056338943,TARGET,2,2020-01-22 13:25:00,2020-01-22 13:48:00,17.91,18.12,1.242642857142858,1.823921520692234
SILVER,2.790448591194827,TARGET_SAME,0,2020-01-22 14:15:00,2020-01-22 14:22:00,17.88,17.924999999999997,0.30649999999996336,0.5731514746723516
SILVER,-16.396920313586445,STOP,1,2020-01-22 14:45:00,2020-01-22 15:00:00,17.93792,17.852130000000002,-1.7900478504122592,0.8720095565820097
SILVER,-24.583337798816867,STOP,1,2020-01-22 16:00:00,2020-01-22 16:23:00,17.86,17.81217,-2.7834056666665994,0.5313159923528062
GOLD,-11.539986475695628,STOP_SAME,0,2020-01-22 19:00:00,2020-01-22 19:03:00,1568.7,1554.9435,-1.3836183196721226,0.423992064590036
GOLD,8.364005253402398,TARGET_SAME,0,2020-01-22 21:50:00,2020-01-22 21:55:00,1564.9,1574.9500000000003,1.0313656716418114,0.43655951610198057
SILVER,-2.379614794476023,TARGET,1,2020-01-22 23:18:00,2020-01-22 23:32:00,17.86,17.89,-0.2874999999999492,0.6681726241432968
SILVER,6.442741461446234,TARGET,5,2020-01-22 23:32:00,2020-01-23 00:53:00,17.89,17.965000000000003,0.7829000000000454,1.0021457470489685
GOLD,-10.353694211082013,STOP,8,2020-01-22 23:25:00,2020-01-23 01:26:00,1577.0,1556.7417,-1.25091132085561,1.1651370560449588
GOLD,9.10389487118093,TARGET,1,2020-01-23 04:12:00,2020-01-23 04:17:00,1564.6,1576.8999999999996,1.1168902439024304,0.488024483209838
GOLD,-9.729426540918931,STOP,3,2020-01-23 06:48:00,2020-01-23 07:30:00,1583.0,1553.445,-1.167551607142859,0.5096508531634597
SILVER,-29.845146064132507,STOP,3,2020-01-23 19:43:00,2020-01-23 20:15:00,17.8,17.762220000000003,-3.667110999999974,0.40175691533044394
SILVER,4.551413607639075,TARGET_SAME,0,2020-01-24 14:45:00,2020-01-24 14:47:00,17.9,17.959999999999997,0.603499999999981,0.5133727479768593
SILVER,-8.747764342337828,STOP,160,2020-01-24 15:17:00,2020-01-28 12:14:00,18.27,17.882099999999998,-1.1460867567567588,1.225312685951583
GOLD,-8.802349322741412,STOP,209,2020-01-24 15:16:00,2020-01-29 01:17:00,1594.3,1561.9365,-1.1532381980519475,2.1926764710476325
SILVER,4.551076323473266,TARGET,6,2020-01-29 18:13:00,2020-01-29 19:44:00,17.47,17.529999999999998,0.6249999999999815,0.5783736258387187
GOLD,9.48767937905976,TARGET,24,2020-01-29 15:00:00,2020-01-29 21:09:00,1584.0,1608.3000000000002,1.302944444444452,1.0119031635307099
GOLD,7.345957727543057,TARGET,2,2020-01-29 23:33:00,2020-01-30 00:05:00,1581.4,1590.4,0.9713666666666667,0.3990163173044774
GOLD,-9.939376216902257,STOP_SAME,0,2020-01-30 00:05:00,2020-01-30 00:06:00,1592.7,1574.7237,-1.2892514451219463,0.8181874140421461
GOLD,-9.337993558355773,STOP,56,2020-01-30 00:26:00,2020-01-30 14:35:00,1595.0,1573.9245,-1.2433038205128162,1.2263619248893902
GOLD,-12.313947369289785,STOP_SAME,0,2020-01-30 19:05:00,2020-01-30 19:08:00,1595.0,1586.412,-1.6813445714285664,0.3544059042531558
GOLD,-8.07825611663701,STOP_SAME,0,2020-01-30 19:55:00,2020-01-30 19:56:00,1616.0,1580.6178,-1.1413851420118362,0.7256154231955882
GOLD,-9.144487218241004,STOP,1,2020-01-31 14:45:00,2020-01-31 15:04:00,1600.0,1583.6148,-1.3222172162162162,0.9771585732189705
GOLD,-8.588023078770503,STOP,8,2020-01-31 15:30:00,2020-01-31 17:32:00,1600.7,1581.8166,-1.2754865086705198,1.0683208138328248
GOLD,-7.4124270719964045,STOP_SAME,0,2020-02-02 23:00:00,2020-02-02 23:01:00,1629.3,1590.6078,-1.1297064097035054,0.3957432499217698
GOLD,-8.86351067833757,STOP,4,2020-02-02 23:52:00,2020-02-03 00:46:00,1600.9,1586.8116,-1.3820889280000075,0.6524617969033665
SILVER,-8.397215864339005,STOP,248,2020-01-29 19:45:00,2020-02-03 15:00:00,17.86,17.46252,-1.1389539999999976,1.180357238895877
SILVER,-16.81060309405675,STOP,6,2020-02-04 10:30:00,2020-02-04 12:21:00,17.73,17.682299999999998,-2.7704099999999787,0.4685380460705492
SILVER,-15.816130156542854,STOP,1,2020-02-05 13:00:00,2020-02-05 13:15:00,17.62,17.57241,-2.759413666666548,0.5367195331651666
SILVER,1.753679577942051,TARGET_SAME,0,2020-02-05 13:46:00,2020-02-05 13:51:00,17.62,17.665000000000003,0.3238333333333777,0.2726469698825354
SILVER,-8.654249032471864,STOP_SAME,0,2020-02-05 14:25:00,2020-02-05 14:26:00,17.7,17.592389999999998,-1.5878043333333478,2.0333679331818684
GOLD,-8.639265289652702,STOP,1,2020-02-05 14:15:00,2020-02-05 14:31:00,1566.0,1556.442,-1.5850552499999992,0.6752188204496887
SILVER,-5.926145464055969,STOP_SAME,0,2020-02-05 14:37:00,2020-02-05 14:37:00,17.93,17.5824,-1.1609466666666721,2.41210340347526
SILVER,-13.75859485928789,STOP,2,2020-02-05 21:06:00,2020-02-05 21:40:00,17.62,17.57241,-2.759413666666548,0.5720907893227254
GOLD,-5.6558620832682545,STOP,36,2020-02-05 15:20:00,2020-02-06 02:54:00,1591.1,1554.5439,-1.1343355400000004,1.5819520166037984
SILVER,4.286120635889232,TARGET,31,2020-02-06 01:00:00,2020-02-06 09:06:00,17.66,17.75,0.9098333333333504,0.731063251047441
GOLD,5.736267604943592,TARGET,12,2020-02-06 07:00:00,2020-02-06 10:10:00,1568.0,1586.75,1.24762,1.3963492879814823
GOLD,-7.811068414017716,STOP_SAME,0,2020-02-06 10:53:00,2020-02-06 10:53:00,1575.3,1566.2322,-1.6279109600000046,0.7380555431548461
GOLD,-5.645716414877141,STOP,2,2020-02-06 11:12:00,2020-02-06 11:42:00,1586.3,1562.9355,-1.216226399082567,1.2359443825201843
SILVER,-6.389216783776854,STOP,5,2020-02-06 13:45:00,2020-02-06 15:00:00,17.89,17.742240000000002,-1.410709538461535,1.1214710157066512
SILVER,1.3754049897608551,TARGET_SAME,0,2020-02-06 16:27:00,2020-02-06 16:27:00,17.79,17.834999999999994,0.31249999999984535,0.486395492024315
GOLD,-6.071832208616153,STOP_SAME,0,2020-02-06 16:30:00,2020-02-06 16:39:00,1579.5,1565.2332,-1.3709868661417353,1.1873503168189097
SILVER,-1.221138664380538,TARGET,1,2020-02-06 17:15:00,2020-02-06 17:44:00,17.82,17.85,-0.28349999999994946,0.3306381119248312
SILVER,-15.725300263343861,STOP,1,2020-02-06 18:31:00,2020-02-06 18:54:00,17.83,17.792189999999998,-3.671609500000095,0.2918903913502213
SILVER,-11.591494030217541,STOP_SAME,0,2020-02-07 01:09:00,2020-02-07 01:09:00,17.837819999999997,17.792189999999998,-2.9209205607478013,0.2898619157411909
GOLD,-5.8003556688548885,STOP,40,2020-02-06 17:04:00,2020-02-07 06:28:00,1580.9,1565.7327,-1.3466126985294034,0.7116453427672351
GOLD,-6.252738109459879,STOP_SAME,0,2020-02-09 23:01:00,2020-02-09 23:01:00,1580.0,1571.9265,-1.7269886923076871,0.6804651185890104
GOLD,3.951797048824332,TARGET,2,2020-02-09 23:31:00,2020-02-10 00:27:00,1582.3,1595.1999999999998,1.1305232558139493,0.878347620670671
GOLD,-4.350156784761902,STOP_SAME,0,2020-02-10 00:27:00,2020-02-10 00:28:00,1599.0,1575.5229,-1.2169690821917785,1.274595003044026
GOLD,3.449047562932164,TARGET,6,2020-02-10 07:01:00,2020-02-10 08:41:00,1579.6,1588.8999999999996,0.9889516129032111,0.7859753779497923
GOLD,4.1048895162405294,TARGET,6,2020-02-10 08:38:00,2020-02-10 10:43:00,1583.9,1597.7000000000003,1.1541739130434923,1.1686912017704123
GOLD,-6.0632988801479595,STOP,3,2020-02-10 13:00:00,2020-02-10 14:04:00,1582.3,1573.6248,-1.6663556056338105,1.2948818905495927
GOLD,-4.742382624565718,STOP,9,2020-02-10 15:29:00,2020-02-10 17:33:00,1588.4,1573.2251999999999,-1.348266558823533,1.0004776488464164
GOLD,-12.043100655693056,STOP_SAME,0,2020-02-12 03:15:00,2020-02-12 03:25:00,1572.9714,1569.5288999999998,-3.5187561718500207,0.05748318002208219
GOLD,-5.082367332057181,STOP,2,2020-02-12 16:46:00,2020-02-12 17:28:00,1578.9,1569.429,-1.597383417721501,0.6915654058856995
