pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple,stop_dist_atr
610.685264527487,TARGET,29,2021-03-16 07:11:00,2021-03-16 14:29:00,1726.3216286084196,1744.4459871735285,2.9999999999999623,1.0000000000000109
-215.77546013304797,STOP,11,2021-03-17 11:16:00,2021-03-17 14:02:00,1727.621237014416,1722.0335313553508,-1.0,1.0000000000000169
-211.45995093038704,STOP,1,2021-03-18 07:26:00,2021-03-18 07:36:00,1742.5104199132845,1735.5089625804644,-1.0,0.9999999999999912
-207.2307519117793,STOP,3,2021-03-18 08:00:00,2021-03-18 08:47:00,1739.7526247838146,1731.6387753030879,-1.0,0.9999999999999996
-203.08613687354372,STOP,10,2021-03-18 10:30:00,2021-03-18 13:06:00,1732.1564122913237,1724.1265309452863,-1.0,1.000000000000008
597.0732424082114,TARGET,30,2021-03-19 13:00:00,2021-03-19 20:43:00,1732.6887061977905,1751.7500047611177,2.999999999999964,1.0000000000000122
-210.96587898423707,STOP,26,2021-03-22 01:15:00,2021-03-22 07:48:00,1734.0019541683314,1727.369717513287,-1.0,1.0
620.239684213648,TARGET,35,2021-03-23 01:24:00,2021-03-23 10:09:00,1732.6420815482124,1748.5711062921944,2.9999999999999574,1.000000000000016
657.4540652664652,TARGET,12,2021-04-05 02:40:00,2021-04-05 05:41:00,1724.2326332504108,1738.3744603001235,2.999999999999952,1.000000000000024
696.9013091824637,TARGET,32,2021-04-05 06:01:00,2021-04-05 14:01:00,1721.834072668113,1735.8873448199254,3.0,0.9999999999999954
738.7153877334237,TARGET,21,2021-04-06 06:58:00,2021-04-06 12:09:00,1730.60595177912,1744.5797225111933,3.000000000000049,0.9999999999999851
-261.0127703324723,STOP,5,2021-04-07 01:06:00,2021-04-07 02:28:00,1740.172628686995,1736.6487392676554,-1.0,0.9999999999999918
-255.79251492582287,STOP,36,2021-04-07 02:15:00,2021-04-07 11:23:00,1738.1342213811313,1734.2845357350884,-1.0,0.9999999999999744
-250.67666462730642,STOP,5,2021-04-19 11:47:00,2021-04-19 13:14:00,1779.1718960780136,1772.78672241492,-1.0,1.00000000000001
-245.6631313347603,STOP,11,2021-04-22 09:29:00,2021-04-22 12:14:00,1787.1862729927257,1782.4928310624232,-1.0,1.0000000000000187
-240.74986870806507,STOP,1,2021-04-23 13:52:00,2021-04-23 14:02:00,1783.246513480434,1777.010394855129,-1.0,0.9999999999999879
-235.9348713339038,STOP,1,2021-04-23 14:00:00,2021-04-23 14:17:00,1782.1176255839048,1775.478312889865,-1.0,0.9999999999999994
693.6485217216771,TARGET,42,2021-04-27 01:46:00,2021-04-27 12:21:00,1776.1172666116684,1788.9624942859484,2.9999999999999996,0.9999999999999952
