symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price
SILVER,76.5128539009174,TARGET,3,2013-11-14 14:38:00,2013-11-14 15:21:00,20.702076339610215,20.79148981324739
GOLD,-184.92451190642228,STOP,2,2013-11-14 18:26:00,2013-11-14 19:06:00,1285.8938316988663,1282.103434209385
GOLD,35.61760029970444,TARGET,2,2013-11-15 00:55:00,2013-11-15 02:01:00,1285.7790386298807,1289.2461510539995
GOLD,-216.8815965898072,STOP,19,2013-11-19 15:47:00,2013-11-20 07:43:00,1273.7515426645648,1270.6636483146651
GOLD,-221.8251613314598,STOP,1,2013-11-22 10:40:00,2013-11-22 11:13:00,1242.4773072451346,1239.6734273383815
GOLD,-195.16064138005916,STOP,2,2013-11-22 20:55:00,2013-11-25 00:30:00,1243.3902128372174,1240.4484394591796
GOLD,-163.04240603701902,STOP,1,2013-11-27 13:49:00,2013-11-27 14:42:00,1249.1773501288644,1245.9051148952494
GOLD,-135.70562175231322,STOP,4,2013-11-29 17:20:00,2013-12-01 23:00:00,1249.7888139782017,1246.0684857087458
GOLD,-139.7906499425602,STOP,1,2013-12-01 23:00:00,2013-12-02 01:19:00,1249.7561858386562,1246.3400216219486
GOLD,-135.13930855727915,STOP,1,2013-12-03 13:47:00,2013-12-03 14:06:00,1221.2141715928803,1217.948519149936
GOLD,-117.33752484962041,STOP,2,2013-12-03 14:44:00,2013-12-03 15:00:00,1220.2798747747443,1216.7239904745695
GOLD,-130.14183468285034,STOP_SAME_15M,0,2013-12-06 13:21:00,2013-12-06 13:29:00,1227.7664412870024,1224.69824988929
GOLD,40.31781036131777,TARGET_SAME_15M,0,2013-12-06 13:41:00,2013-12-06 13:42:00,1227.7736275222458,1232.6339352471794
GOLD,-85.65091732454114,STOP,2,2013-12-06 18:16:00,2013-12-06 19:18:00,1229.5069717569634,1224.8001090691323
GOLD,-134.36971049998934,STOP,2,2013-12-18 15:14:00,2013-12-18 15:34:00,1231.4784095387874,1228.6888765699723
GOLD,-73.71748621348803,STOP,2,2013-12-18 19:52:00,2013-12-18 20:27:00,1231.2806854265584,1226.2926705971745
GOLD,24.822813486425638,TARGET,5,2013-12-20 10:39:00,2013-12-20 12:21:00,1193.765672283457,1197.4280797904808
GOLD,-103.93716312586976,STOP,1,2013-12-20 12:50:00,2013-12-20 13:06:00,1193.9531096005874,1190.8451567579518
GOLD,-97.50133829743783,STOP_SAME_15M,0,2013-12-20 13:01:00,2013-12-20 13:08:00,1193.8359104531746,1190.7138847963383
SILVER,41.57193519345392,TARGET,5,2013-12-23 10:46:00,2013-12-23 12:50:00,19.348276210491868,19.457594439845902
GOLD,41.51292379062783,TARGET,1,2013-12-26 18:39:00,2013-12-26 18:56:00,1210.9792251583572,1217.5057126360457
GOLD,-107.01263652140923,STOP,5,2014-01-03 11:30:00,2014-01-03 13:03:00,1230.8931955671721,1227.954944826686
GOLD,19.378959507078747,TARGET,3,2014-01-03 20:08:00,2014-01-05 23:12:00,1234.8592628147726,1238.419018950122
GOLD,-96.30015135787593,STOP,3,2014-01-06 11:08:00,2014-01-06 11:52:00,1237.271920505839,1234.1800972699784
GOLD,20.497761103860764,TARGET,1,2014-01-06 11:52:00,2014-01-06 12:00:00,1236.864640571747,1240.6142657148946
GOLD,21.02467699536042,TARGET_SAME_15M,0,2014-01-06 12:00:00,2014-01-06 12:00:00,1236.6315520808062,1240.4036959667962
GOLD,-78.8786179957792,STOP_SAME_15M,0,2014-01-06 15:14:00,2014-01-06 15:14:00,1238.1797801231214,1234.5379099633935
GOLD,-58.4508899953405,STOP_SAME_15M,0,2014-01-06 15:16:00,2014-01-06 15:19:00,1238.0924026840087,1233.0922844207003
GOLD,-91.45797036957872,STOP,1,2014-01-09 13:51:00,2014-01-09 14:10:00,1226.6614779244776,1223.7902043041634
GOLD,-83.21951540592471,STOP,7,2014-01-09 14:45:00,2014-01-09 16:34:00,1225.900518779687,1222.9637462139797
GOLD,5.34466104812131,TARGET,6,2014-01-16 18:16:00,2014-01-17 06:17:00,1240.2369410426063,1243.0201158477391
GOLD,-96.31003126466814,STOP,9,2014-01-22 15:52:00,2014-01-22 18:16:00,1239.9315325534333,1237.3967849837873
GOLD,-70.81769167520112,STOP,3,2014-01-24 00:38:00,2014-01-24 03:05:00,1261.3247773719006,1258.2499666441793
GOLD,-76.11675234295711,STOP,2,2014-01-27 10:25:00,2014-01-27 11:38:00,1269.0328366317806,1266.2621951387694
GOLD,14.863527065345881,TARGET,5,2014-01-29 17:37:00,2014-01-29 18:56:00,1262.0047947423113,1266.022855621996
GOLD,-59.550384041937406,STOP_SAME_15M,0,2014-01-29 19:00:00,2014-01-29 19:00:00,1262.0782918647299,1258.8570911282964
GOLD,18.01851834461014,TARGET,3,2014-01-29 19:25:00,2014-01-29 20:10:00,1261.9958340775886,1266.7718927809728
GOLD,-55.16103397084802,STOP,1,2014-01-30 01:51:00,2014-01-30 03:08:00,1264.8860721031683,1261.5500376758866
GOLD,-40.846756034018874,STOP,15,2014-02-03 20:00:00,2014-02-04 09:41:00,1256.5155035938199,1252.1769468469183
SILVER,-41.07928366793232,STOP,2,2014-02-04 13:20:00,2014-02-04 13:50:00,19.344452608934535,19.281784784465682
SILVER,-34.405187467781715,STOP,2,2014-02-06 14:23:00,2014-02-06 14:53:00,19.994585486531843,19.9177633127149
GOLD,0.3024047590754648,TARGET_SAME_15M,0,2014-02-07 13:30:00,2014-02-07 13:31:00,1260.516195698357,1263.0637342456278
GOLD,-46.52577806505989,STOP_SAME_15M,0,2014-02-07 13:49:00,2014-02-07 13:50:00,1260.4870780815459,1257.2335052743206
GOLD,13.492466168675925,TARGET,3,2014-02-07 14:45:00,2014-02-07 15:34:00,1259.474221460556,1264.0227655384806
GOLD,11.4241933854502,TARGET,12,2014-02-11 08:29:00,2014-02-11 12:52:00,1282.2860796330046,1286.3656737161184
GOLD,-50.90027986796147,STOP,1,2014-02-12 19:43:00,2014-02-12 19:49:00,1292.121896060138,1289.1123984256058
GOLD,-48.649247093605325,STOP_SAME_15M,0,2014-02-12 20:31:00,2014-02-12 20:40:00,1291.866802146563,1288.9113416706439
GOLD,-51.92514092453407,STOP_SAME_15M,0,2014-02-19 19:00:00,2014-02-19 19:01:00,1319.0223121298857,1316.2935257268646
SILVER,16.26215979596917,TARGET,1,2014-02-24 21:02:00,2014-02-24 21:36:00,22.028776156470048,22.152954410435548
GOLD,4.644699374350871,TARGET,2,2014-02-27 14:37:00,2014-02-27 15:14:00,1330.4722959057951,1333.7188247872214
GOLD,5.813206719026638,TARGET,1,2014-03-03 12:46:00,2014-03-03 13:12:00,1343.4588036741072,1346.920877649357
GOLD,-42.319570454419576,STOP,4,2014-03-04 01:04:00,2014-03-04 06:06:00,1349.8822455153977,1346.7095545626873
GOLD,1.2448583122244106,TARGET,1,2014-03-05 14:57:00,2014-03-05 15:03:00,1335.1677177441686,1337.9832309085587
GOLD,6.975550010672562,TARGET,13,2014-03-12 08:24:00,2014-03-12 11:52:00,1356.14060663469,1359.9274404040832
GOLD,-34.83515482399643,STOP,1,2014-03-17 01:16:00,2014-03-17 01:34:00,1383.9362089404117,1380.241807243186
GOLD,-34.105135497858754,STOP,3,2014-03-21 14:45:00,2014-03-21 16:35:00,1336.6379420609771,1333.191162982262
SILVER,-26.963336659213276,STOP,1,2014-03-25 11:54:00,2014-03-25 12:00:00,20.096118090345993,20.03398093004145
GOLD,-26.352454738036556,STOP,2,2014-03-28 15:30:00,2014-03-28 16:03:00,1292.3558106756727,1288.4794296057373
GOLD,9.914670484651449,TARGET,9,2014-03-28 16:17:00,2014-03-30 22:21:00,1291.9273456758522,1297.0468633818737
SILVER,-25.129691302670786,STOP,2,2014-03-31 12:20:00,2014-03-31 12:55:00,19.89774891683371,19.836994324361886
GOLD,-36.40278561896915,STOP_SAME_15M,0,2014-04-01 14:00:00,2014-04-01 14:12:00,1284.6167756163425,1281.9302201516723
SILVER,-22.30334559749113,STOP,2,2014-04-02 18:43:00,2014-04-02 19:15:00,19.99608614906364,19.93563978511641
SILVER,7.715185497984244,TARGET_SAME_15M,0,2014-04-04 12:30:00,2014-04-04 12:31:00,19.911229931524144,19.983917595828295
SILVER,-22.74296091517292,STOP,1,2014-04-08 13:32:00,2014-04-08 14:10:00,20.073469796684343,20.016149223607453
SILVER,-21.32912892186612,STOP_SAME_15M,0,2014-04-08 14:00:00,2014-04-08 14:10:00,20.07023263451074,20.01228015376003
GOLD,-29.622663737937653,STOP,3,2014-04-08 14:52:00,2014-04-08 15:33:00,1309.5540929211286,1306.837452144382
GOLD,-26.850460373034515,STOP_SAME_15M,0,2014-04-10 12:33:00,2014-04-10 12:35:00,1320.9390977246026,1318.160599404695
SILVER,-13.698478046146509,STOP,12,2014-04-10 13:06:00,2014-04-10 16:14:00,20.180139884157224,20.102288218631653
GOLD,-22.358825746882296,STOP,8,2014-04-10 17:23:00,2014-04-10 20:16:00,1319.2998147444262,1316.3896687656613
SILVER,-14.821686257805993,STOP,3,2014-04-14 07:14:00,2014-04-14 07:54:00,20.03160217599933,19.971114692140613
GOLD,3.0084171031263693,TARGET,1,2014-04-16 12:21:00,2014-04-16 12:35:00,1300.680248288389,1304.2242743599784
SILVER,-14.766478886610479,STOP_SAME_15M,0,2014-04-22 01:01:00,2014-04-22 01:07:00,19.381659090193722,19.32543342219734
GOLD,-13.31268821474007,STOP,11,2014-04-30 19:59:00,2014-05-01 01:49:00,1290.9755582157754,1287.0145212692778
GOLD,-15.638708721100556,STOP_SAME_15M,0,2014-05-02 13:34:00,2014-05-02 13:40:00,1283.9488035087822,1280.764214148495
SILVER,5.925833710101915,TARGET,1,2014-05-02 14:01:00,2014-05-02 14:17:00,19.10738783462969,19.20546492568923
GOLD,-18.039428591882952,STOP,4,2014-05-05 14:14:00,2014-05-05 15:06:00,1311.7109198548453,1308.9013949502546
GOLD,0.914539583134311,TARGET,8,2014-05-14 16:18:00,2014-05-14 19:38:00,1303.8564048517117,1306.753781783307
GOLD,-17.698167463551925,STOP,3,2014-05-19 13:40:00,2014-05-19 14:15:00,1300.4460786792347,1297.7628494438766
GOLD,-16.379052370659615,STOP_SAME_15M,0,2014-05-22 15:01:00,2014-05-22 15:09:00,1297.422433070575,1294.7490296127462
GOLD,-13.099967028323945,STOP,2,2014-05-28 13:58:00,2014-05-28 14:16:00,1263.8569260777176,1260.9558205534088
GOLD,-12.319687575418387,STOP,1,2014-05-29 20:25:00,2014-05-29 21:07:00,1255.0235608349171,1252.1591419453525
GOLD,1.4356533752611935,TARGET,24,2014-06-03 15:54:00,2014-06-04 12:15:00,1244.0506011357816,1247.1967539653035
GOLD,0.8182612248291021,TARGET,8,2014-06-06 10:01:00,2014-06-06 12:29:00,1253.3637589726327,1256.2079917745136
GOLD,0.868880267541865,TARGET_SAME_15M,0,2014-06-06 12:32:00,2014-06-06 12:34:00,1252.8987365919866,1255.7636726533392
SILVER,-8.480764422880293,STOP,1,2014-06-06 13:27:00,2014-06-06 13:34:00,19.049341034187854,18.990031212511962
GOLD,-12.96480828076573,STOP_SAME_15M,0,2014-06-18 18:00:00,2014-06-18 18:05:00,1271.1580542934316,1268.565551226027
GOLD,-6.640578355090091,STOP,2,2014-06-20 01:35:00,2014-06-20 02:41:00,1314.8558319676026,1310.135193280136
SILVER,4.061410716521562,TARGET_SAME_15M,0,2014-06-20 12:15:00,2014-06-20 12:16:00,20.674215766325744,20.807413578933552
SILVER,-6.2388937936856514,STOP,4,2014-06-23 07:57:00,2014-06-23 11:00:00,20.819973657017165,20.74035090526845
GOLD,-10.386202483460593,STOP,2,2014-06-24 13:30:00,2014-06-24 14:00:00,1321.8400052030904,1318.98112671975
SILVER,-5.199683291534971,STOP,17,2014-06-24 14:25:00,2014-06-24 19:38:00,21.013563120268028,20.924804540809706
SILVER,-5.246834307483931,STOP,1,2014-06-27 10:14:00,2014-06-27 10:52:00,21.09620384305542,21.0134308325481
GOLD,-7.954842631090487,STOP_SAME_15M,0,2014-07-01 15:21:00,2014-07-01 15:22:00,1327.4305511136083,1324.2938034798694
GOLD,-8.217489998414983,STOP,8,2014-07-09 14:24:00,2014-07-09 16:51:00,1324.2054187273684,1321.312504084259
GOLD,-6.115223794801954,STOP,4,2014-07-10 14:09:00,2014-07-10 15:22:00,1339.6576544387995,1336.119864763865
GOLD,-6.537735031127124,STOP_SAME_15M,0,2014-07-15 14:25:00,2014-07-15 14:27:00,1309.447442094013,1306.3561800669083
GOLD,1.007817170945441,TARGET,3,2014-07-17 14:00:00,2014-07-17 15:16:00,1303.4147023411724,1306.9589438055773
GOLD,-7.2861559695160905,STOP,1,2014-07-21 22:00:00,2014-07-22 00:00:00,1312.9858989710394,1310.2538891857664
GOLD,-6.39347965196378,STOP_SAME_15M,0,2014-07-23 13:02:00,2014-07-23 13:05:00,1307.7429956010578,1304.916653688073
GOLD,1.1238744373137857,TARGET,2,2014-07-25 14:20:00,2014-07-25 15:02:00,1293.7783679361692,1297.697234359205
GOLD,-5.250615784342671,STOP_SAME_15M,0,2014-07-28 13:00:00,2014-07-28 13:11:00,1303.9206431144007,1300.7779989676499
GOLD,-3.710582103171099,STOP_SAME_15M,0,2014-07-29 13:40:00,2014-07-29 13:41:00,1308.2006865291414,1304.0014913730063
SILVER,-3.5639244202230556,STOP,5,2014-08-07 10:31:00,2014-08-07 11:50:00,20.033865685091868,19.970159695276966
GOLD,-5.208854372545915,STOP_SAME_15M,0,2014-08-12 17:01:00,2014-08-12 17:01:00,1314.6356921525714,1311.8302971561018
SILVER,-3.8536626937959384,STOP,1,2014-08-19 12:30:00,2014-08-19 12:59:00,19.655168014051405,19.604624707451375
GOLD,-4.270809639502957,STOP,1,2014-08-25 03:36:00,2014-08-25 06:59:00,1279.4799255378437,1276.6160135900366
GOLD,-3.2491072167244024,STOP,1,2014-08-26 15:23:00,2014-08-26 15:40:00,1285.5758184527847,1282.141591978379
SILVER,-2.004605286116117,STOP,1,2014-08-26 17:12:00,2014-08-26 17:17:00,19.4730207456116,19.382870944720096
GOLD,0.08882219735633168,TARGET,3,2014-08-27 19:34:00,2014-08-28 02:03:00,1283.3384715099655,1286.0202702648785
SILVER,-2.5465462802005967,STOP_SAME_15M,0,2014-08-28 13:00:00,2014-08-28 13:08:00,19.75988161111581,19.697898487424123
GOLD,-3.1030833312100494,STOP,24,2014-08-28 15:16:00,2014-08-29 05:08:00,1290.6680594758552,1287.5130265596968
GOLD,-3.719373086307444,STOP_SAME_15M,0,2014-09-04 12:05:00,2014-09-04 12:07:00,1271.2637787055046,1268.690510635333
GOLD,0.3525821765362992,TARGET_SAME_15M,0,2014-09-05 12:30:00,2014-09-05 12:30:00,1263.8576580183535,1267.0283545207822
GOLD,0.5719115767990958,TARGET,6,2014-09-05 16:53:00,2014-09-05 20:00:00,1265.69792857449,1269.4520027260642
GOLD,-2.88448230525409,STOP,7,2014-09-09 13:46:00,2014-09-09 15:48:00,1255.0285152979616,1252.091314192676
GOLD,-3.2367025229590807,STOP,2,2014-09-10 08:14:00,2014-09-10 08:32:00,1255.9940744669368,1253.4318958412875
GOLD,-2.892739908216276,STOP_SAME_15M,0,2014-09-15 12:37:00,2014-09-15 12:39:00,1234.876420063374,1232.3011859955175
GOLD,-2.5002227287055296,STOP,2,2014-09-15 13:43:00,2014-09-15 14:08:00,1234.5311916823823,1231.825594275587
SILVER,0.8579941530475439,TARGET,4,2014-09-22 14:36:00,2014-09-22 15:39:00,17.654060708318664,17.754705092952328
GOLD,0.35173622794994397,TARGET,1,2014-09-22 15:36:00,2014-09-22 15:50:00,1213.5728856347469,1216.8528433138565
GOLD,-1.9796322314005712,STOP,1,2014-09-26 13:49:00,2014-09-26 14:03:00,1216.171781233192,1213.0252752811812
GOLD,0.564856876900722,TARGET,12,2014-09-26 15:03:00,2014-09-26 21:14:00,1215.4152096970226,1219.739688570237
GOLD,-2.3872007560999697,STOP,3,2014-09-29 13:17:00,2014-09-29 14:00:00,1220.0218191544132,1217.4127064192166
GOLD,-2.258006414786741,STOP_SAME_15M,0,2014-09-29 14:03:00,2014-09-29 14:11:00,1219.7754413272219,1217.2039799367533
GOLD,-1.8806242493604175,STOP,4,2014-10-08 12:42:00,2014-10-08 14:11:00,1216.351110930138,1213.5717065035883
GOLD,-1.4981691941734168,STOP_SAME_15M,0,2014-10-09 15:01:00,2014-10-09 15:11:00,1226.942184773538,1223.7213342662394
GOLD,-1.9642294437987133,STOP,3,2014-10-13 13:11:00,2014-10-13 13:52:00,1228.1718655909424,1225.6972314303853
GOLD,0.07789018258840341,TARGET,2,2014-10-13 13:53:00,2014-10-13 14:37:00,1227.9727093756044,1230.659845106629
GOLD,-1.6414950344209691,STOP,3,2014-10-14 13:48:00,2014-10-14 15:13:00,1233.7066975938549,1231.0370356601918
GOLD,-1.333217290795426,STOP,10,2014-10-21 15:36:00,2014-10-21 19:09:00,1250.8187021452216,1247.8055346009041
GOLD,0.1798806921164462,TARGET_SAME_15M,0,2014-11-03 17:00:00,2014-11-03 17:00:00,1168.6261491228881,1171.6451694692644
GOLD,-1.3043401440350584,STOP,3,2014-11-04 18:55:00,2014-11-04 20:50:00,1167.5150217733603,1164.781342856166
GOLD,-1.2177553065588376,STOP_SAME_15M,0,2014-11-06 13:34:00,2014-11-06 13:36:00,1143.8053165814283,1141.1229785278877
GOLD,-1.0631740628037532,STOP,8,2014-11-06 18:44:00,2014-11-06 20:33:00,1143.2998912664648,1140.454220311918
SILVER,0.45388039621050325,TARGET,4,2014-11-09 23:37:00,2014-11-10 01:08:00,15.684339409433179,15.783821232998994
GOLD,0.27837048763599653,TARGET,2,2014-11-11 15:49:00,2014-11-11 16:25:00,1153.1900113418046,1157.0934887216306
GOLD,-0.9781401674516293,STOP,3,2014-11-12 15:45:00,2014-11-12 16:40:00,1163.6587531168234,1160.583969495386
GOLD,0.2866757202460283,TARGET,7,2014-11-13 14:59:00,2014-11-13 16:36:00,1160.4376582718517,1164.5769996943163
GOLD,-0.9134421160793794,STOP,3,2014-11-13 18:05:00,2014-11-13 18:59:00,1161.741271123109,1158.587310538399
GOLD,-1.0885170613403539,STOP,1,2014-11-14 03:18:00,2014-11-14 04:30:00,1159.3802143793826,1156.810704559768
GOLD,-0.8742187314386786,STOP,4,2014-11-17 12:50:00,2014-11-17 13:51:00,1187.02834046918,1184.0529265100968
GOLD,-0.7593256918077119,STOP,1,2014-11-17 14:15:00,2014-11-17 14:32:00,1186.2488890206298,1183.0443050106353
GOLD,-0.7585062776079831,STOP,13,2014-11-18 19:22:00,2014-11-19 02:32:00,1194.3195091689431,1191.2604104716527
GOLD,0.2780039459746955,TARGET,14,2014-11-20 15:01:00,2014-11-20 20:22:00,1189.4940007775651,1195.0091444001948
SILVER,-0.3803066953388347,STOP,1,2014-11-21 16:54:00,2014-11-21 17:01:00,16.40698225279651,16.296151546308803
SILVER,-0.3620066665000999,STOP_SAME_15M,0,2014-11-21 17:01:00,2014-11-21 17:01:00,16.39759599303706,16.281505859020857
GOLD,-0.6196092490698942,STOP,10,2014-11-24 01:06:00,2014-11-24 07:53:00,1199.8185662144638,1196.4161973683388
GOLD,-0.5967449904805323,STOP_SAME_15M,0,2014-11-25 13:30:00,2014-11-25 13:31:00,1198.4157786009891,1195.0746098806574
SILVER,-0.37209339177592166,STOP_SAME_15M,0,2014-11-25 14:14:00,2014-11-25 14:14:00,16.605384373539543,16.523600893322207
SILVER,-0.3452717068200084,STOP,8,2014-11-25 14:40:00,2014-11-25 16:37:00,16.595243173054037,16.507212323381957
GOLD,0.24617502309140477,TARGET,52,2014-11-25 17:41:00,2014-11-26 15:30:00,1196.626385936776,1203.026843228028
GOLD,-0.6635985581489855,STOP,1,2014-11-27 15:22:00,2014-11-27 15:30:00,1194.2936112364948,1191.5366742413576
GOLD,-0.3834162319515769,STOP,3,2014-12-01 23:30:00,2014-12-02 00:25:00,1207.7077406750432,1203.0051946284054
GOLD,-0.4791988017222125,STOP,8,2014-12-03 23:00:00,2014-12-04 04:15:00,1208.3427034720114,1204.9416358166418
GOLD,0.035447060569935684,TARGET,4,2014-12-08 13:10:00,2014-12-08 14:06:00,1194.3649963051676,1197.0323487678795
GOLD,-0.5585548440553623,STOP,1,2014-12-08 15:59:00,2014-12-08 16:10:00,1194.161507355931,1191.37653373229
GOLD,0.11219313050030186,TARGET,8,2014-12-08 16:39:00,2014-12-08 18:47:00,1193.6852249525648,1197.3566756046168
GOLD,0.13877666933247634,TARGET,8,2014-12-10 01:14:00,2014-12-10 04:54:00,1228.6785013299232,1232.962941528681
GOLD,0.13834412111338973,TARGET,3,2014-12-11 20:48:00,2014-12-11 21:45:00,1224.899421625081,1229.1088664521164
SILVER,-0.3832943906473437,STOP,1,2014-12-12 14:59:00,2014-12-12 15:00:00,17.099781961604172,17.042497362632396
SILVER,-0.3609221215494904,STOP_SAME_15M,0,2014-12-12 15:16:00,2014-12-12 15:18:00,17.093195542856815,17.03494044996228
GOLD,-0.45825201927517006,STOP,1,2014-12-17 14:51:00,2014-12-17 15:04:00,1197.4869289378332,1194.479708878352
GOLD,-0.3856881586108246,STOP,3,2014-12-17 15:46:00,2014-12-17 16:44:00,1196.1442877657814,1192.8015870979812
SILVER,0.22030361316821334,TARGET,3,2014-12-17 16:02:00,2014-12-17 16:57:00,15.78381855249722,15.916919699826474
SILVER,-0.2276280259234363,STOP,1,2014-12-17 19:45:00,2014-12-17 20:01:00,15.846960525193914,15.75368441113279
SILVER,0.1385525962256523,TARGET,2,2014-12-19 14:40:00,2014-12-19 15:07:00,15.910074645043972,15.974706589052392
GOLD,-0.48071568938424875,STOP,5,2014-12-19 17:01:00,2014-12-19 18:18:00,1196.8323288243,1194.170749625418
SILVER,-0.28285192968075085,STOP,1,2014-12-23 19:40:00,2014-12-23 19:54:00,15.724515574620245,15.668856950637002
GOLD,0.0783941014114531,TARGET,3,2015-01-06 11:50:00,2015-01-06 13:06:00,1209.3194863422493,1212.8582256668412
GOLD,0.09947718993079575,TARGET,4,2015-01-06 14:10:00,2015-01-06 15:01:00,1209.501151748996,1213.5087199503234
GOLD,-0.350642167253008,STOP_SAME_15M,0,2015-01-06 15:17:00,2015-01-06 15:23:00,1209.422986448461,1206.1382778849934
GOLD,-0.33501249653792997,STOP,6,2015-01-07 00:07:00,2015-01-07 04:14:00,1216.5257407109682,1213.2569107418162
SILVER,-0.26095511818160255,STOP,13,2015-01-07 20:54:00,2015-01-08 02:39:00,16.539601608206915,16.4846380321937
