symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,t1_hit,r_multiple
SILVER,-2.3734741130040873,STOP,4,2013-10-28 02:56:00,2013-10-28 07:52:00,22.52980500518054,22.45415239664933,False,-2.2686289383816014
SILVER,0.21518811074809208,T1_T2,2,2013-10-28 08:05:00,2013-10-28 08:47:00,22.512800024617366,22.58714740728743,True,0.21545835306066416
SILVER,-2.6873325823267877,STOP,1,2013-10-28 17:02:00,2013-10-28 17:47:00,22.550409481930032,22.487671945994364,False,-2.679162489265656
SILVER,-2.563648212438074,STOP,3,2013-10-28 17:52:00,2013-10-28 20:28:00,22.54710391703548,22.48488054298739,False,-2.7005588679502486
GOLD,-3.0114433012094572,STOP,3,2013-10-29 05:42:00,2013-10-29 07:42:00,1353.3064564154383,1350.2317741543363,False,-3.353388757680967
GOLD,-2.5301220323954485,STOP_SAME,0,2013-10-30 17:24:00,2013-10-30 17:29:00,1351.9577856511034,1348.6025848304791,False,-3.0199558038128673
SILVER,-0.09935767611953558,T1_T2,2,2013-10-30 17:29:00,2013-10-30 17:53:00,22.939734124816695,22.99478544423289,True,-0.1262167889754831
SILVER,-2.0585745831533577,STOP_SAME,0,2013-10-30 18:00:00,2013-10-30 18:01:00,22.932079257398673,22.866833117901624,False,-2.6216819230342687
SILVER,-1.531464058908126,STOP_SAME,0,2013-10-30 18:15:00,2013-10-30 18:16:00,22.88857929848775,22.801016861961596,False,-2.0583089730570734
SILVER,0.16777943825080127,T1_T2,4,2013-11-01 15:18:00,2013-11-01 16:28:00,21.81037052340194,21.88399652814785,True,0.2351793306367811
SILVER,-1.9726883636715584,STOP,3,2013-11-04 01:02:00,2013-11-04 02:48:00,21.833265963564063,21.774143734770128,False,-2.7522060433975906
GOLD,-0.592544252010845,T1_T2,3,2013-11-04 07:56:00,2013-11-04 09:25:00,1312.8779164838159,1314.8484933258708,True,-0.8748462197947716
GOLD,-2.345488890389472,STOP_SAME,0,2013-11-04 18:08:00,2013-11-04 18:09:00,1316.1584626033723,1313.2816271027373,False,-3.5246045022157113
SILVER,-1.7627137293661237,STOP_SAME,0,2013-11-04 18:00:00,2013-11-04 18:08:00,21.777568298026203,21.720556008388083,False,-2.8497430861282917
GOLD,-1.9752330713191857,STOP_SAME,0,2013-11-04 18:16:00,2013-11-04 18:17:00,1316.1660006515137,1313.1987855722791,False,-3.3863216776032825
SILVER,-1.4939294980279232,STOP_SAME,0,2013-11-06 16:06:00,2013-11-06 16:07:00,21.85182458927575,21.792546152367297,False,-2.7472399576427264
SILVER,-1.3968505627004422,STOP_SAME,0,2013-11-06 16:20:00,2013-11-06 16:21:00,21.846816069724905,21.786916471951965,False,-2.718061396693282
GOLD,-0.23931865238514285,T1_T2,7,2013-11-06 16:07:00,2013-11-06 20:21:00,1315.9220417425236,1318.446242850332,True,-0.44009156075274547
GOLD,-1.9067341072653794,STOP_SAME,0,2013-11-08 12:30:00,2013-11-08 12:39:00,1308.2567634422373,1305.6263619110455,False,-3.9625315621119284
GOLD,-0.3628611047303418,T1_T2,1,2013-11-08 13:03:00,2013-11-08 13:15:00,1308.0459898049673,1310.065752673209,True,-0.8189956365073364
GOLD,-0.7718766145457308,T1_STOP,3,2013-11-12 15:23:00,2013-11-12 16:00:00,1279.0677991438122,1275.8493140502455,True,-1.7711757751035397
GOLD,-1.257722672071949,STOP_SAME,0,2013-11-12 16:01:00,2013-11-12 16:02:00,1278.8705103452062,1275.6701283945554,False,-2.9920028297549686
GOLD,-0.048010489934519174,T1_T2,5,2013-11-13 14:58:00,2013-11-13 16:06:00,1273.0853067025025,1276.1521030411798,True,-0.1214818800577053
GOLD,-0.6115325169129531,T1_STOP,2,2013-11-13 17:32:00,2013-11-13 18:04:00,1272.6043790069696,1269.1045740634147,True,-1.5511413787737556
GOLD,-1.0039336013226305,STOP_SAME,0,2013-11-13 18:05:00,2013-11-13 18:06:00,1272.253856124408,1268.6431325087792,False,-2.6279873659603723
GOLD,-1.1716471175579644,STOP,2,2013-11-14 11:16:00,2013-11-14 12:09:00,1282.42855562316,1279.4302290140208,False,-3.2371533943991557
GOLD,-1.055542067667354,STOP,1,2013-11-14 12:20:00,2013-11-14 12:42:00,1282.0058602456545,1278.9123269917754,False,-3.1182509353863357
SILVER,-0.7494887978464689,STOP,2,2013-11-14 13:47:00,2013-11-14 14:18:00,20.705397110507736,20.639192150683396,False,-2.3613853217051948
SILVER,0.06140901254042659,T1_T2,4,2013-11-14 14:19:00,2013-11-14 15:20:00,20.697156833964684,20.764588523678242,True,0.2030695038653072
SILVER,0.05097016536434168,T1_T2,3,2013-11-14 18:59:00,2013-11-14 20:56:00,20.71450422092663,20.779507431201328,True,0.16786817510367094
GOLD,0.026755075411882268,T1_T2,9,2013-11-14 18:56:00,2013-11-15 02:01:00,1285.1999703833576,1288.9224605859004,True,0.08811675716665163
GOLD,-1.1549925085140809,STOP,2,2013-11-18 01:00:00,2013-11-18 01:53:00,1287.1810903487337,1284.509974391059,False,-3.7845453128237634
SILVER,-0.9636903662840801,STOP,1,2013-11-18 01:53:00,2013-11-18 02:24:00,20.714968760029144,20.668590172856998,False,-3.4162908188165537
GOLD,-1.0272998761121652,STOP_SAME,0,2013-11-18 09:06:00,2013-11-18 09:08:00,1285.5455541174867,1282.9368626105413,False,-3.9088633711920133
GOLD,-0.06760654075634018,T1_T2,9,2013-11-19 16:01:00,2013-11-19 19:59:00,1273.2745585133744,1275.9972997549262,True,-0.2790580504293917
GOLD,-0.9536291844880193,STOP,3,2013-11-20 06:13:00,2013-11-20 07:43:00,1273.468249862295,1270.9059840595025,False,-3.958366762164649
SILVER,-0.5342544158824387,STOP_SAME,0,2013-11-20 09:35:00,2013-11-20 09:42:00,20.35076632761804,20.287181808206324,False,-2.4082629346905122
GOLD,-0.08984590571664405,T1_T2,5,2013-11-22 05:49:00,2013-11-22 11:05:00,1242.2315845162575,1244.6368843013156,True,-0.42549309818855685
SILVER,0.06771450264565897,T1_T2,5,2013-11-22 10:30:00,2013-11-22 12:13:00,19.898821896663325,19.973386045476513,True,0.3232695261877367
GOLD,-0.08875538212788367,T1_T2,4,2013-11-22 11:13:00,2013-11-22 12:11:00,1241.9771052418591,1244.384331172088,True,-0.42393622491952354
GOLD,-0.6216966468759151,STOP,10,2013-11-22 17:28:00,2013-11-25 00:30:00,1243.6583458140205,1240.5304768315002,False,-2.9754877921511267
GOLD,-0.6332755305964278,STOP,1,2013-11-26 11:56:00,2013-11-26 12:04:00,1250.8384376554975,1247.9030855176181,False,-3.222686503927004
GOLD,-0.5068356907614738,STOP_SAME,0,2013-11-27 14:32:00,2013-11-27 14:42:00,1248.5760071246668,1245.2007311282305,False,-2.7569397241836096
GOLD,-0.4712338283630927,STOP_SAME,0,2013-11-27 14:46:00,2013-11-27 14:55:00,1247.9265539732412,1244.4984052159318,False,-2.712867125988994
GOLD,-0.2569676281275435,T1_STOP,1,2013-12-01 23:00:00,2013-12-02 01:19:00,1249.2140416867871,1245.7984196142315,True,-1.5642187992550711
SILVER,-0.38588507939459504,STOP,1,2013-12-01 23:00:00,2013-12-02 01:19:00,19.972013902360015,19.908059838793562,False,-2.358469056411077
GOLD,-0.3919243452128305,STOP,1,2013-12-02 01:20:00,2013-12-02 01:38:00,1248.879524751168,1245.2778525970914,False,-2.5883002292639357
