asset,pnl,exit_reason,entry_time,exit_time,entry_price,exit_price,r_multiple,risk_used
US500,-67.64380928157073,STOP,2020-01-29 13:33:00,2020-01-29 14:55:00,3287.6106433522223,3278.869078025041,-2.8039721431593225,24.124280066974684
US500,3.6763425259448734,TARGET,2020-01-29 16:01:00,2020-01-29 19:04:00,3284.492923025392,3292.292606007789,0.15678809717314018,23.44784197415898
US500,1.0184249220567114,TARGET_SAME,2020-01-29 19:00:00,2020-01-29 19:04:00,3285.5806796993293,3292.456909383223,0.04336563909572574,23.484605399418427
SILVER,17.658513699864354,TARGET,2020-01-29 11:02:00,2020-01-29 19:45:00,17.506455920476064,17.63680996295967,0.7304014113113876,24.176450683685914
US500,-53.980178951947835,STOP,2020-01-29 19:35:00,2020-01-29 20:14:00,3286.0212228920077,3275.1594876766912,-2.2975382950523584,23.494789648638996
SILVER,13.136351484862733,TARGET,2020-01-30 05:43:00,2020-01-30 07:25:00,17.59334308116483,17.674963223431366,0.5678970248615266,23.13157299611816
GOLD,44.054138904190864,TARGET,2020-01-27 00:17:00,2020-01-30 07:39:00,1577.8467811871521,1614.3057749905952,0.912445401719334,48.28139724434911
GOLD,41.55219365843639,TARGET_SAME,2020-01-30 07:30:00,2020-01-30 07:39:00,1582.9218359472693,1608.7654439619366,0.87649993460287,47.406955800017386
GOLD,42.780905142678414,TARGET,2020-01-30 07:46:00,2020-01-30 13:30:00,1582.7743963156993,1611.0058239296332,0.8868714588606559,48.23799967318612
SILVER,10.058761420009885,TARGET,2020-01-30 13:00:00,2020-01-30 13:35:00,17.71364353069347,17.77452009532465,0.41704720295859254,24.11899983659306
GOLD,42.519162404196756,TARGET_SAME,2020-01-30 13:30:00,2020-01-30 13:30:00,1584.5760705500236,1607.801598277465,0.8625487564247839,49.29479300443988
GOLD,44.1915641959315,TARGET,2020-01-30 14:15:00,2020-01-30 15:40:00,1584.4084677310468,1611.325004566362,0.8812724871758194,50.14517625252382
GOLD,46.21962849157885,TARGET,2020-01-30 15:46:00,2020-01-30 17:40:00,1583.7672515544464,1617.7361989339206,0.9057520559962103,51.02900753644244
US500,12.63259987978785,TARGET_SAME,2020-01-30 19:46:00,2020-01-30 19:56:00,3252.5026747220772,3265.190541233105,0.4863050292741979,25.976700053137012
SILVER,-37.48091812308151,STOP,2020-01-30 19:28:00,2020-01-31 01:03:00,17.926699320581502,17.78804315882078,-1.4428668016496276,25.976700053137012
SILVER,14.570956205470871,TARGET,2020-01-31 01:00:00,2020-01-31 01:49:00,17.85016936766931,17.932683258869933,0.5663414716494546,25.728216870704074
US500,-59.97985876163582,STOP,2020-01-31 06:45:00,2020-01-31 07:41:00,3290.118229400549,3279.361427399787,-2.318158355961613,25.873926432758783
SILVER,15.204253909820249,TARGET,2020-01-31 02:00:00,2020-01-31 14:42:00,17.83917175580173,17.925901960896457,0.5876283968470382,25.873926432758783
GOLD,47.436603062385345,TARGET,2020-01-30 17:30:00,2020-01-31 16:09:00,1583.8858563177002,1620.746388144177,0.9130606074934599,51.953400106274024
GOLD,46.57045495259563,TARGET,2020-02-02 23:01:00,2020-02-02 23:19:00,1591.54465241442,1623.383477214314,0.899024912199667,51.80107282972896
SILVER,18.823012903975023,TARGET,2020-02-03 00:36:00,2020-02-03 01:08:00,18.033534772353885,18.1600440882541,0.7139058210609885,26.366240964390435
SILVER,18.91447749268258,TARGET_SAME,2020-02-03 01:00:00,2020-02-03 01:08:00,18.030441960623044,18.156216618222988,0.7122897468427527,26.554471093430184
US500,5.326399892097653,TARGET,2020-02-03 14:16:00,2020-02-03 14:37:00,3240.384554873634,3248.4871903219064,0.19916528558876878,26.74361586835701
US500,4.987858656242327,TARGET_SAME,2020-02-03 14:30:00,2020-02-03 14:37:00,3240.2814135214853,3248.253917197344,0.18613579942689765,26.796879867277987
US500,-51.850205005388176,STOP,2020-02-03 16:36:00,2020-02-03 23:01:00,3249.4753133176623,3235.795076490633,-1.9313394983807084,26.84675845384041
US500,2.226616914966538,TARGET,2020-02-04 14:39:00,2020-02-04 14:46:00,3282.7338684336087,3289.91372651803,0.08457137764148735,26.328256403786526
GOLD,-59.952222749833794,STOP,2020-02-02 23:28:00,2020-02-04 15:12:00,1592.3133203767454,1556.3785003800292,-1.1369125927128505,52.73248192878087
US500,-58.564710945753085,STOP,2020-02-04 20:40:00,2020-02-05 00:46:00,3299.208612550378,3288.164612441723,-2.2742693549817234,25.751000345437856
US500,4.297736855745448,TARGET,2020-02-05 01:30:00,2020-02-05 08:34:00,3296.0787287460876,3304.03815591663,0.1707799137744958,25.165353235980323
SILVER,13.173489438319603,TARGET,2020-02-05 13:15:00,2020-02-05 13:51:00,17.57983638354338,17.653636862474908,0.522584761560856,25.208330604537778
US500,-55.3600249749718,STOP,2020-02-05 14:38:00,2020-02-05 15:28:00,3322.035204808961,3310.326073530178,-2.1846835785538574,25.34006549892097
US500,-54.06918582412739,STOP_SAME,2020-02-06 00:42:00,2020-02-06 00:42:00,3332.0218475200822,3320.2541720930953,-2.1813996179199138,24.78646524917125
SILVER,9.492306150128138,TARGET,2020-02-06 02:41:00,2020-02-06 05:30:00,17.622790651343166,17.680808407352014,0.3915035415483626,24.245773390929976
GOLD,39.38379417310412,TARGET,2020-02-06 06:51:00,2020-02-06 10:10:00,1558.7062318696376,1575.1146368141042,0.8090112427569897,48.68139290486251
US500,-54.562484873113945,STOP,2020-02-06 07:00:00,2020-02-06 10:10:00,3349.3064099671487,3337.8882650627443,-2.2416155996088603,24.340696452431256
GOLD,34.76931564170934,TARGET,2020-02-07 01:00:00,2020-02-07 01:20:00,1570.5493455493577,1581.7556948391925,0.7187036599646268,48.37781909086232
SILVER,-43.55150068841406,STOP,2020-02-07 01:00:00,2020-02-07 06:28:00,17.80704590773441,17.722756957832654,-1.8004739158090795,24.18890954543116
GOLD,35.59096961659615,TARGET,2020-02-07 01:29:00,2020-02-07 06:37:00,1570.7084959539616,1582.1845277793047,0.725262784931412,49.073205403696505
GOLD,33.97356454998673,TARGET,2020-02-07 07:15:00,2020-02-07 07:36:00,1569.7164992501928,1580.0285592754367,0.6945571446621667,48.913994782260154
GOLD,34.65426806221164,TARGET_SAME,2020-02-07 07:30:00,2020-02-07 07:36:00,1569.6877265910844,1580.1441836150661,0.6987668095434197,49.59346607325989
GOLD,36.10752312597506,TARGET,2020-02-07 07:46:00,2020-02-07 08:13:00,1569.6979332646222,1580.8715674374048,0.7180353811496383,50.28655143450412
GOLD,36.70369260297597,TARGET_SAME,2020-02-07 08:00:00,2020-02-07 08:13:00,1569.7617575132929,1580.9967099774365,0.7195574723127319,51.00870189702362
US500,-61.22555892473869,STOP,2020-02-07 03:45:00,2020-02-07 09:48:00,3342.5100761479894,3332.4792999924157,-2.495274495361446,24.536602701848253
GOLD,39.44021484339982,TARGET,2020-02-07 09:15:00,2020-02-07 10:23:00,1569.489680606325,1582.747530281798,0.7622361628733976,51.74277574908314
SILVER,8.403541927422463,TARGET,2020-02-07 08:13:00,2020-02-07 10:44:00,17.786775706237442,17.8395413574853,0.32481991179498604,25.87138787454157
GOLD,42.80639756924458,TARGET,2020-02-09 23:01:00,2020-02-10 00:27:00,1574.5125318818239,1593.3231948391578,0.8315936161364322,51.4751397060048
GOLD,43.980228441342874,TARGET,2020-02-10 01:00:00,2020-02-10 02:10:00,1576.134189965203,1596.0122482537922,0.8404197033650956,52.33126765738969
SILVER,15.17228994760565,TARGET,2020-02-10 04:52:00,2020-02-10 08:41:00,17.711118887541943,17.793740262984905,0.5702702967582776,26.605436113108272
US500,-62.46530746855269,STOP,2020-02-10 07:06:00,2020-02-10 08:46:00,3327.6270596491277,3316.913682212855,-2.3478400129579744,26.605436113108272
GOLD,44.59583203454038,TARGET,2020-02-10 04:30:00,2020-02-10 10:43:00,1575.3320081998281,1594.9130549772417,0.838096241778356,53.210872226216544
GOLD,40.05557401473009,TARGET_SAME,2020-02-10 10:43:00,2020-02-10 10:43:00,1576.5466656311994,1589.3920226910473,0.7535343958465452,53.15692851648841
SILVER,12.259673233324587,TARGET_SAME,2020-02-10 12:22:00,2020-02-10 12:24:00,17.76022209219011,17.8254468939804,0.4544150689704633,26.97901999839151
