pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
-89.60128534593522,STOP,82,2020-05-08 12:49:00,2020-05-11 10:26:00,1712.9867465515351,1694.3428253400198,-1.30112130421447
-81.57147137858982,STOP,279,2020-05-18 13:38:00,2020-05-21 14:20:00,1748.0041096500956,1722.2512464160777,-1.2161660820520637
181.28966646814598,TARGET,9,2020-05-29 13:19:00,2020-05-29 15:41:00,1725.3687362951543,1771.027013141727,2.77026756214305
-92.6171260952008,STOP,6,2020-06-02 15:28:00,2020-06-02 16:58:00,1736.6384778771296,1719.7316781622706,-1.3409749826149377
185.3818642689546,TARGET,10,2020-06-16 12:30:00,2020-06-16 15:09:00,1722.1507210468378,1765.394925989432,2.758056901381405
206.15892299672856,TARGET,517,2020-07-28 03:07:00,2020-08-04 17:21:00,1929.4891828719428,2057.876345297105,2.906827938568381
215.06594219554506,TARGET,82,2020-08-12 19:58:00,2020-08-13 17:20:00,1913.0721416717306,2000.565618721844,2.865808130194027
-102.80375820417711,STOP,94,2020-08-18 14:11:00,2020-08-19 14:39:00,1993.523386084047,1971.4623215290555,-1.2956258065450645
-103.11188565853075,STOP,17,2020-08-21 07:21:00,2020-08-21 11:42:00,1934.268884011824,1915.091352444744,-1.3340784359981592
205.03027153674873,TARGET,26,2020-08-31 07:26:00,2020-08-31 13:50:00,1958.6848068559384,2001.9601440885274,2.725434032114588
-102.50406401168783,STOP,89,2020-09-01 14:20:00,2020-09-02 13:35:00,1969.5274342352698,1947.4967678781172,-1.292137149755459
-106.27067435676727,STOP,158,2020-09-04 12:36:00,2020-09-08 10:10:00,1926.1490406697633,1908.9221585140895,-1.3751557682468183
-104.69244790737311,STOP,5,2020-09-21 08:19:00,2020-09-21 09:33:00,1943.1372693350538,1926.4574951155382,-1.3930464382330263
192.86921811347403,TARGET,81,2020-12-03 16:19:00,2020-12-04 13:30:00,1828.9383953498004,1859.6668280163933,2.6398834984470967
198.37856183898123,TARGET,22,2020-12-07 09:15:00,2020-12-07 14:49:00,1831.747947366495,1858.0485733360658,2.5791206804388023
-124.96484579355072,STOP_SAME,0,2020-12-21 10:00:00,2020-12-21 10:02:00,1891.8643094822773,1879.6099290810344,-1.5449750469286148
-116.16797516865306,STOP_SAME,0,2020-12-21 10:15:00,2020-12-21 10:15:00,1888.143663161949,1874.5679742116145,-1.4820102734601281
-109.18232824535133,STOP,109,2020-12-21 11:30:00,2020-12-22 15:57:00,1879.4668203996634,1864.714898393007,-1.4354377121041435
193.48305024983745,TARGET,12,2020-12-28 11:41:00,2020-12-28 14:38:00,1878.3019976839914,1908.1115372525655,2.618939414388512
-118.00074089385409,STOP,2,2021-01-06 12:00:00,2021-01-06 12:43:00,1946.3894885798422,1933.2230995642874,-1.5177322923369625
-110.58599785681164,STOP,3,2021-01-12 13:26:00,2021-01-12 14:06:00,1847.8930488316264,1834.237915838192,-1.466890380428265
-103.00822513539492,STOP,138,2021-01-12 14:00:00,2021-01-14 02:31:00,1844.559161670504,1829.2249774238298,-1.4076714732785829
192.04687940253095,TARGET,5,2021-01-20 13:15:00,2021-01-20 14:40:00,1838.3883617390113,1875.5860714923203,2.7004674918540092
-115.87948140452193,STOP,121,2021-01-25 15:09:00,2021-01-26 23:20:00,1852.7748048000913,1840.7915703846436,-1.5459440728021228
-105.75826514121067,STOP,24,2021-01-29 14:45:00,2021-01-29 20:59:00,1854.6586075508249,1840.669925232425,-1.4559331068832946
186.9066803320328,TARGET,37,2021-01-29 20:48:00,2021-02-01 07:12:00,1844.1304924399383,1876.039864742875,2.65024347813569
-125.9834633366149,STOP,58,2021-02-01 15:53:00,2021-02-02 07:15:00,1860.5386512591833,1850.697457498207,-1.6964619136816483
172.19431412026708,TARGET,10,2021-02-08 08:50:00,2021-02-08 11:26:00,1808.1211600063032,1826.2981448694866,2.400161358074712
184.54765539964575,TARGET,87,2021-02-09 14:45:00,2021-02-10 13:31:00,1837.112196743443,1857.4314426287979,2.4545254789153277
-131.4091207669514,STOP,98,2021-02-10 15:44:00,2021-02-11 17:05:00,1836.5122626427435,1826.4387604162646,-1.6659868297201692
-145.2577953093885,STOP_SAME,0,2021-02-11 17:00:00,2021-02-11 17:05:00,1834.3512896435075,1826.4579301002943,-1.9050336476095409
-157.45564885775235,STOP_SAME,0,2021-02-16 11:50:00,2021-02-16 11:59:00,1818.353777545277,1811.7932677533831,-2.1468011911780005
-144.0682369655179,STOP,3,2021-02-16 12:00:00,2021-02-16 12:48:00,1817.521969921818,1810.5400597382652,-2.052394553341955
-114.8830366578422,STOP,2,2021-02-18 14:45:00,2021-02-18 15:18:00,1775.9863955420997,1766.7022541882368,-1.706678038042994
166.05387570978309,TARGET,2,2021-02-18 15:15:00,2021-02-18 15:55:00,1773.8109966549343,1797.8376748828155,2.554039642393039
-124.7300223794488,STOP,18,2021-02-25 07:10:00,2021-02-25 11:41:00,1789.957380964896,1781.6845448576476,-1.8252128498200937
-99.04356799305533,STOP,20,2021-03-01 12:42:00,2021-03-01 17:39:00,1735.2557829643172,1723.2511448268701,-1.5042464470543138
-101.04665138191719,STOP,8,2021-03-08 07:24:00,2021-03-08 09:23:00,1695.8122761421196,1685.420735602827,-1.5822712441225304
