pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
-131.06505621479124,STOP,36,2021-04-07 02:15:00,2021-04-07 11:23:00,1738.1342213811313,1732.5502511993532,-2.3520503975864697
-117.26498880807506,STOP,13,2021-04-09 03:01:00,2021-04-09 06:25:00,1752.1009024850232,1746.0115353559338,-2.2082785761717276
-105.3180457662088,STOP,1,2021-04-14 13:12:00,2021-04-14 13:18:00,1739.8821127319777,1733.3019500837559,-2.0749403450248503
-104.74957837175813,STOP,11,2021-04-22 09:29:00,2021-04-22 12:07:00,1787.8883886320898,1781.4631871832692,-2.153091314306306
-93.49797526958034,STOP,1,2021-04-23 14:01:00,2021-04-23 14:17:00,1779.562782611164,1772.5059957344909,-2.0082995549287417
96.85101907693715,TARGET,42,2021-04-27 01:46:00,2021-04-27 12:21:00,1776.1172666116684,1788.9624942859484,2.1673764331863206
-92.86489868494199,STOP,14,2021-04-29 06:40:00,2021-04-29 10:01:00,1779.3495924477115,1772.2062201302213,-1.9918322031070812
-86.57181282469294,STOP,13,2021-04-29 10:01:00,2021-04-29 13:16:00,1773.425070533961,1765.97451533287,-1.9338934601968862
-90.67008363391085,STOP,26,2021-05-04 05:17:00,2021-05-04 11:51:00,1785.403848897984,1778.7948285046396,-2.1069348606031704
-85.93888304345747,STOP,6,2021-05-12 01:35:00,2021-05-12 03:00:00,1831.2602940714762,1824.3809789874806,-2.084846904139018
-81.45510967732199,STOP,38,2021-05-12 03:00:00,2021-05-12 12:30:00,1827.964628205452,1820.9897520856607,-2.0620534638943715
-77.40889559647748,STOP_SAME,0,2021-05-12 12:30:00,2021-05-12 12:30:00,1828.6125879368312,1821.5459538196253,-2.0439159721814435
79.85139999747435,TARGET,12,2021-05-14 03:10:00,2021-05-14 06:12:00,1819.9199072761376,1833.5910059631506,2.1982697959652695
89.33183682987868,TARGET,3,2021-05-17 12:49:00,2021-05-17 13:32:00,1845.4558498369138,1862.7217275976614,2.355692604427308
90.7432204641658,TARGET_SAME,0,2021-05-18 13:58:00,2021-05-18 13:58:00,1864.4755441037173,1880.192809955664,2.285244318700138
