symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,pullback_candles,stop_ticks,r_multiple
GOLD,34.01772043955674,TARGET,7,2016-01-07 16:12:00,2016-01-07 17:46:00,1105.2040999999997,1109.212299999999,2,20.04099999999653,0.8950569332865717
GOLD,27.219369785301932,TARGET,1,2016-01-20 12:40:00,2016-01-20 12:57:00,1098.6975999999997,1102.0927999999992,2,16.975999999997384,0.703587181903665
GOLD,-104.15363984030796,STOP,1,2016-01-20 17:37:00,2016-01-20 17:50:00,1109.7085999999997,1106.5923,2,20.085999999996602,-2.6548844468787136
GOLD,-109.41201910610417,STOP_SAME_15M,0,2016-01-25 13:46:00,2016-01-25 13:47:00,1108.9077999999997,1106.0928000000001,2,17.07799999999679,-2.945310106570175
GOLD,-112.18223504157717,STOP,1,2016-01-26 17:14:00,2016-01-26 17:15:00,1119.0179,1116.3825,3,15.179000000000542,-3.208907306146613
GOLD,-104.97917656282821,STOP,1,2016-01-29 20:58:00,2016-01-29 21:59:00,1118.8176999999998,1116.1826999999998,3,15.17699999999877,-3.208803057257947
GOLD,-103.34816445831815,STOP_SAME_15M,0,2016-02-03 23:53:00,2016-02-03 23:55:00,1143.4423,1140.858,2,14.42299999999932,-3.37558087776483
GOLD,-88.32991841936378,STOP,3,2016-02-04 20:25:00,2016-02-04 21:01:00,1157.7565999999997,1154.9439,2,16.565999999997985,-3.093927622842174
GOLD,-83.41536025577972,STOP,1,2016-02-08 20:00:00,2016-02-08 20:16:00,1196.2950999999998,1193.4053999999999,2,16.950999999999112,-3.114506813757432
GOLD,21.365021776763406,TARGET,1,2016-02-17 14:23:00,2016-02-17 14:48:00,1209.3080999999997,1213.5242999999991,2,21.080999999996948,0.85070328732017
GOLD,-87.15922342905142,STOP,1,2016-02-19 12:08:00,2016-02-19 12:28:00,1233.9326999999996,1231.1676,2,15.326999999995223,-3.4124096692120114
GOLD,-69.18407685988988,STOP_SAME_15M,0,2016-02-23 14:23:00,2016-02-23 14:24:00,1223.9226999999998,1220.778,2,19.226999999998498,-2.9070581473970285
GOLD,23.814415309830967,TARGET,1,2016-02-23 23:09:00,2016-02-23 23:15:00,1229.4281999999998,1234.6845999999996,2,26.28199999999879,1.062433300357616
GOLD,-69.11135141237862,STOP_SAME_15M,0,2016-02-25 15:21:00,2016-02-25 15:26:00,1237.5362999999998,1234.4643,4,18.3629999999971,-3.0191148505149146
GOLD,-67.46977812255426,STOP_SAME_15M,0,2016-02-25 16:02:00,2016-02-25 16:09:00,1240.1389,1237.1616000000001,2,17.388999999998305,-3.1368109149464134
GOLD,-48.47192918886577,STOP_SAME_15M,0,2016-02-29 16:21:00,2016-02-29 16:23:00,1235.234,1231.3673999999999,3,26.340000000000146,-2.404404479878522
GOLD,-65.49144687720734,STOP,1,2016-02-29 16:57:00,2016-02-29 17:02:00,1234.8335999999997,1232.0666999999999,2,15.335999999997512,-3.412754499217983
GOLD,-61.10351936459172,STOP_SAME_15M,0,2016-03-01 12:21:00,2016-03-01 12:23:00,1246.9456999999998,1244.1546,2,15.456999999996697,-3.4173515559298804
GOLD,-47.06052545410283,STOP,1,2016-03-02 18:44:00,2016-03-02 18:48:00,1245.244,1241.9568000000002,2,20.43999999999869,-2.825049315068555
GOLD,-45.90750556784661,STOP_SAME_15M,0,2016-03-03 14:46:00,2016-03-03 14:53:00,1248.5472999999997,1245.3534,2,19.472999999998137,-2.9208651466134143
GOLD,-40.63233879087146,STOP_SAME_15M,0,2016-03-03 15:17:00,2016-03-03 15:18:00,1255.1538999999998,1251.747,2,21.53899999999794,-2.7456246343842747
GOLD,-40.99412130808743,STOP_SAME_15M,0,2016-03-03 20:31:00,2016-03-03 20:32:00,1267.0657999999999,1263.8348999999998,6,19.657999999999447,-2.93102080577891
GOLD,-28.549995759885725,STOP_SAME_15M,0,2016-03-04 15:28:00,2016-03-04 15:29:00,1279.2779999999998,1274.724,2,32.779999999997926,-2.168395973154457
GOLD,-28.754044457110503,STOP_SAME_15M,0,2016-03-10 19:47:00,2016-03-10 19:47:00,1273.3720999999998,1269.1296,2,29.720999999997275,-2.2828981864676354
GOLD,-21.51641009823323,STOP,9,2016-03-22 07:45:00,2016-03-22 11:55:00,1255.5542999999998,1249.5492,2,47.5429999999983,-1.7900013671834256
GOLD,-28.423963212315478,STOP_SAME_15M,0,2016-03-28 13:49:00,2016-03-28 13:49:00,1223.0217999999998,1219.2795,3,25.217999999997573,-2.4524551114284456
GOLD,10.829434380239354,TARGET_SAME_15M,0,2016-03-29 16:30:00,2016-03-29 16:35:00,1236.3350999999998,1241.2052999999992,2,24.35099999999693,0.9825713933718077
GOLD,14.585246744202404,TARGET,6,2016-03-29 17:22:00,2016-03-29 19:03:00,1238.2369999999999,1245.3109999999995,2,35.36999999999807,1.2978377155781355
GOLD,-37.69722573717555,STOP,1,2016-03-30 07:58:00,2016-03-30 08:02:00,1245.1439,1242.2565,2,16.439000000000306,-3.2695421862643532
GOLD,-32.54165147603247,STOP_SAME_15M,0,2016-03-31 14:32:00,2016-03-31 14:32:00,1238.9377,1235.8628999999999,3,18.377000000000407,-3.0198621102464887
GOLD,-24.350823287095082,STOP,1,2016-04-05 13:57:00,2016-04-05 14:00:00,1236.235,1232.3663999999999,2,26.34999999999991,-2.405010018975346
GOLD,-31.507640204781417,STOP_SAME_15M,0,2016-04-07 14:06:00,2016-04-07 14:07:00,1244.1429,1241.2575,3,16.429000000000542,-3.2690975713676673
GOLD,-13.332000341303004,STOP,2,2016-04-11 13:56:00,2016-04-11 14:25:00,1263.7624999999998,1254.6441,2,78.62499999999727,-1.4800389952305555
GOLD,-28.63297808983124,STOP,13,2016-04-11 14:44:00,2016-04-11 18:01:00,1258.9576999999997,1256.0427,2,16.576999999997497,-3.275623092236566
GOLD,-22.472353976585357,STOP,1,2016-04-12 12:42:00,2016-04-12 12:49:00,1264.5632999999998,1261.1376,3,21.632999999997082,-2.751075162945769
GOLD,-25.208696597916315,STOP_SAME_15M,0,2016-04-15 15:53:00,2016-04-15 15:54:00,1236.6354,1233.765,2,16.353999999998905,-3.2657456279810124
GOLD,6.686594048983438,TARGET_SAME_15M,0,2016-04-21 12:10:00,2016-04-21 12:14:00,1267.2659999999998,1271.9979999999994,2,23.65999999999758,0.9267692307691212
GOLD,5.20302238993353,TARGET_SAME_15M,0,2016-04-21 12:20:00,2016-04-21 12:25:00,1269.4681999999996,1273.4045999999987,3,19.681999999995696,0.7080211360631264
GOLD,-9.566723025018241,STOP_SAME_15M,0,2016-04-25 13:45:00,2016-04-25 13:46:00,1252.6514,1238.2605,2,131.51399999999967,-1.2836513146889241
GOLD,-23.738252193581005,STOP,1,2016-04-25 14:25:00,2016-04-25 14:32:00,1244.1428999999998,1241.2575,2,16.42899999999827,-3.269097571367981
GOLD,-23.205349815258813,STOP_SAME_15M,0,2016-04-27 16:49:00,2016-04-27 16:50:00,1252.0507999999998,1249.2495,2,15.507999999997537,-3.419267668300682
GOLD,-19.87155200519147,STOP_SAME_15M,0,2016-04-27 17:48:00,2016-04-27 17:57:00,1252.6514,1249.6491,2,17.51399999999876,-3.1429716227019915
GOLD,-15.046623182157491,STOP_SAME_15M,0,2016-04-28 15:40:00,2016-04-28 15:40:00,1267.7665,1264.0347,3,24.664999999999964,-2.539469369552009
GOLD,1.5121351517882067,TARGET,4,2016-04-28 23:37:00,2016-04-29 01:18:00,1268.6674,1271.6022,2,14.673999999999978,0.26886356821588936
GOLD,-17.19967598134861,STOP,2,2016-04-29 10:55:00,2016-04-29 11:33:00,1281.0797999999998,1277.9208,3,18.797999999997046,-3.041813278008591
