symbol,pnl,exit_reason,bars_held,entry_time,exit_time,entry_price,exit_price,r_multiple
GOLD,-23.8026269176845,STOP,5,2014-05-21 03:01:00,2014-05-21 06:53:00,1296.2,1292.6061000000002,-2.688133086956509
SILVER,-16.215574173616407,STOP,12,2014-05-21 02:50:00,2014-05-21 10:53:00,19.45,19.360619999999997,-1.8312945714285926
GOLD,16.426978665881762,TARGET,24,2014-05-22 02:25:00,2014-05-22 12:20:00,1292.6,1300.6999999999994,2.039518518518454
GOLD,-23.1531677597477,STOP,9,2014-05-26 10:35:00,2014-05-27 03:12:00,1294.0,1290.5082,-2.7619582727272207
SILVER,-19.251281080499925,STOP,2,2014-05-28 12:52:00,2014-05-28 13:19:00,19.11,19.05093,-2.430773250000012
SILVER,-10.221464923389163,STOP,10,2014-05-29 20:00:00,2014-05-30 08:10:00,19.13,18.95103,-1.3565689374999963
SILVER,-21.070214042315378,STOP_SAME,0,2014-06-02 17:15:00,2014-06-02 17:24:00,18.77,18.721259999999997,-2.874375333333298
SILVER,-14.681710977890798,STOP,30,2014-06-03 00:43:00,2014-06-03 14:20:00,18.79,18.721259999999997,-2.125025200000006
GOLD,-15.759065994705095,STOP,4,2014-06-03 18:47:00,2014-06-04 01:00:00,1246.2,1242.2565,-2.3822061111111026
GOLD,-16.108559713820217,STOP,5,2014-06-04 13:12:00,2014-06-04 14:44:00,1247.5,1243.8548999999998,-2.556856208333313
SILVER,-14.504202020809087,STOP,10,2014-06-06 00:02:00,2014-06-06 10:53:00,19.05,18.99099,-2.4262747500000685
SILVER,-16.53676198774823,STOP,4,2014-06-10 05:34:00,2014-06-10 08:14:00,19.1,19.05093,-2.907364333333236
GOLD,15.489066529284452,TARGET,141,2014-06-05 12:47:00,2014-06-11 14:19:00,1247.6463999999999,1266.0855999999994,2.5910236886632734
SILVER,14.838367084380105,TARGET,85,2014-06-10 19:27:00,2014-06-16 01:04:00,19.31,19.819999999999993,2.769823529411762
GOLD,-10.180560231352658,STOP,27,2014-06-15 22:00:00,2014-06-16 14:10:00,1278.0,1271.9268,-1.7964847500000256
GOLD,11.628735505586095,TARGET,3,2014-06-18 15:35:00,2014-06-18 17:03:00,1271.6,1279.3999999999996,2.0188461538461198
